nfeature,r_g1,r_g2,num_bioreps,num_allele_specific_reads_per_biorep,num_allele_specific_reads,total_coverage,theta1_sim,theta2_sim,delta_AI_1,delta_AI_2,delta_AI_3,alpha1_sim,alpha2_sim,average_alpha1,median_alpha1,variance_alpha1,average_alpha2,median_alpha2,variance_alpha2,average_theta1,median_theta1,variance_theta1,average_theta2,median_theta2,variance_theta2,average_c1_sampleprop,median_c1_sampleprop,variance_c1_sampleprop,average_c2_sampleprop,median_c2_sampleprop,variance_c2_sampleprop,prop_H1_LE05,prop_H1_LE01,prop_H2_LE05,prop_H2_LE01,prop_H3_LE05,prop_H3_LE01
10000,0.8,0.8,8,120,960,75,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00186936,1.0011,0.0021858,0.74390184,0.7425,0.001166036,0.5001659,0.5,0.000539863,0.64417873,0.6448,0.000438769,0.50017781,0.5,0.000581817,0.64949113,0.6499,0.000477432,0.047,0.0094,1,0.9999,0.9937,0.9631
10000,0.8,0.8,6,160,960,100,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00261101,1.001,0.002471077,0.82542156,0.8244,0.001682999,0.4999728,0.50015,0.000605434,0.59553598,0.5958,0.000566214,0.49996071,0.5,0.000662492,0.5999605,0.6002,0.000622945,0.0443,0.0086,0.9652,0.8696,0.7577,0.509
10000,0.8,0.8,5,192,960,120,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00311137,1.002,0.002788839,0.82673276,0.826,0.00187555,0.49989125,0.4997,0.000684237,0.59486997,0.5949,0.000629615,0.49989815,0.4995,0.000758202,0.59986626,0.6002,0.000701762,0.0415,0.0073,0.9447,0.8005,0.7078,0.4297
10000,0.8,0.8,4,240,960,150,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00232486,1.00115,0.003276636,0.8283728,0.8273,0.002172551,0.50053205,0.5003,0.000802604,0.59406341,0.5942,0.000725698,0.50054888,0.5005,0.000907366,0.59994003,0.6,0.00082153,0.0442,0.0066,0.9015,0.704,0.616,0.3302
10000,0.8,0.8,12,80,960,50,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00214953,1.0006,0.001797261,0.82240778,0.8216,0.001230497,0.49982579,0.5001,0.000442911,0.59706829,0.5973,0.000417954,0.49982269,0.5,0.000470175,0.59999881,0.6,0.000447176,0.0499,0.0087,0.9946,0.978,0.9032,0.7471
10000,0.8,0.8,8,120,960,75,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00186217,1.0012,0.002184769,0.82458344,0.8234,0.001420555,0.50016864,0.5,0.000539699,0.5959027,0.5963,0.000480562,0.50017781,0.5,0.000581817,0.59956047,0.5998,0.00052183,0.0481,0.0102,0.9881,0.9299,0.8323,0.6091
10000,0.8,0.8,6,160,960,100,0.5,0.55,0,0.1,0.1,1,0.904534,1.00261258,1.0009,0.002470847,0.91022988,0.9088,0.002041406,0.49997178,0.5002,0.000605354,0.54791716,0.5482,0.000597833,0.49996071,0.5,0.000662492,0.55014667,0.55035,0.000655798,0.042,0.0071,0.4612,0.2139,0.254,0.0893
10000,0.8,0.8,5,192,960,120,0.5,0.55,0,0.1,0.1,1,0.904534,1.00310022,1.00215,0.002790008,0.91091648,0.9099,0.002319035,0.49989411,0.4997,0.000684461,0.54768038,0.5477,0.000677697,0.49989815,0.4995,0.000758202,0.55020965,0.5503,0.000750699,0.0448,0.0074,0.4113,0.1795,0.232,0.0774
1000,0.8,0.8,5,320,1600,200,0.5,0.65,0,0.3,0.3,1,0.7337994,1.0028927,1.00125,0.0023775,0.7452062,0.7448,0.001294507,0.499791,0.50015,0.00058494,0.6434351,0.6435,0.000486643,0.4998571,0.5,0.000638892,0.6496763,0.65035,0.000529628,0.04,0.006,1,1,0.984,0.923
1000,0.8,0.8,5,80,400,50,0.5,0.65,0,0.3,0.3,1,0.7337994,1.0057126,1.0031,0.003955702,0.7568988,0.75525,0.002099873,0.4992544,0.4995,0.000957734,0.6366378,0.6373,0.000772585,0.4992323,0.5,0.001117675,0.6470544,0.6477,0.000911559,0.026,0.005,0.994,0.958,0.868,0.633
1000,0.8,0.8,5,320,1600,200,0.5,0.6,0,0.2,0.2,1,0.8164966,1.0028955,1.0012,0.002370481,0.8246468,0.8245,0.001716959,0.49979,0.49995,0.000583089,0.5959847,0.5956,0.000578153,0.4998571,0.5,0.000638892,0.6002671,0.60005,0.0006279,0.039,0.009,0.961,0.874,0.768,0.514
1000,0.8,0.8,5,80,400,50,0.5,0.6,0,0.2,0.2,1,0.8164966,1.0056451,1.00305,0.003957089,0.833876,0.83345,0.002655165,0.4992941,0.4997,0.000957981,0.5911331,0.5908,0.000875693,0.4992323,0.5,0.001117675,0.5984034,0.5982,0.001028487,0.03,0.005,0.808,0.544,0.502,0.227
1000,0.8,0.8,5,320,1600,200,0.5,0.55,0,0.1,0.1,1,0.904534,1.0028526,1.00085,0.002369423,0.912053,0.9114,0.002087273,0.4998119,0.50015,0.000582952,0.5469301,0.54675,0.000609463,0.4998571,0.5,0.000638892,0.5490972,0.54845,0.000667013,0.04,0.007,0.448,0.22,0.27,0.092
1000,0.8,0.8,5,80,400,50,0.5,0.55,0,0.1,0.1,1,0.904534,1.0055701,1.00355,0.003949836,0.9168731,0.9175,0.003142153,0.4993202,0.4995,0.000957304,0.5449584,0.54395,0.000909226,0.4992323,0.5,0.001117675,0.5485016,0.54775,0.001062385,0.031,0.005,0.249,0.093,0.131,0.039
10000,0.8,0.8,6,160,960,100,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00148608,1.0003,0.002516624,0.74604245,0.7453,0.001386887,0.50054711,0.5005,0.000621479,0.6429467,0.6432,0.000519903,0.50057213,0.5005,0.000679241,0.6493636,0.6496,0.000574706,0.0463,0.0073,0.9999,0.9987,0.9815,0.913
10000,0.8,0.8,5,320,1600,200,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00282951,1.0013,0.002509806,0.74472383,0.7438,0.001338895,0.49985326,0.5,0.000615702,0.64373776,0.6441,0.000503076,0.49982607,0.5,0.000672364,0.6499187,0.6502,0.000551521,0.0505,0.0085,0.9999,0.9989,0.9846,0.9228
10000,0.8,0.8,12,80,960,50,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00169304,1.0006,0.001783679,0.74164822,0.7413,0.000965866,0.50004853,0.5001,0.000440776,0.64548695,0.6455,0.000365273,0.50005194,0.5,0.000467803,0.64974266,0.6498,0.000393919,0.0468,0.0089,1,1,0.9988,0.9899
10000,0.8,0.8,5,80,400,50,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00359617,1.0012,0.003949613,0.75352133,0.75195,0.002252442,0.50030363,0.5005,0.000963082,0.63872256,0.6393,0.00083059,0.5003242,0.5,0.001124276,0.64947275,0.6499,0.000978638,0.0341,0.0062,0.992,0.9529,0.864,0.65
10000,0.8,0.8,6,160,960,100,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00146322,1.0004,0.002518485,0.8261617,0.8253,0.001719729,0.50055708,0.5005,0.000621993,0.59511496,0.5952,0.000578971,0.50057213,0.5005,0.000679241,0.59951243,0.5996,0.000636569,0.0457,0.0087,0.9628,0.8626,0.7486,0.4947
10000,0.8,0.8,5,320,1600,200,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00284263,1.0012,0.00251011,0.82598248,0.8254,0.001639207,0.49984722,0.5,0.000615799,0.59518786,0.5952,0.000552227,0.49982607,0.5,0.000672364,0.5994279,0.59955,0.000603871,0.0517,0.0083,0.9689,0.8722,0.7629,0.5113
10000,0.8,0.8,12,80,960,50,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00168047,1.00055,0.00178328,0.82240713,0.8216,0.00121807,0.50005568,0.5002,0.000440693,0.59706603,0.5973,0.000413758,0.50005194,0.5,0.000467803,0.59998402,0.6002,0.000441372,0.0471,0.009,0.9966,0.9784,0.9036,0.7473
10000,0.8,0.8,5,80,400,50,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00359818,1.00115,0.003947271,0.83134649,0.82925,0.00263626,0.50030219,0.5006,0.000962676,0.59259139,0.5932,0.000873272,0.5003242,0.5,0.001124276,0.59989038,0.6005,0.001020835,0.0332,0.0045,0.8156,0.5699,0.4978,0.24
10000,0.8,0.8,6,160,960,100,0.5,0.55,0,0.1,0.1,1,0.904534,1.00148117,1.0003,0.002516509,0.91104902,0.9097,0.002097668,0.50054663,0.5005,0.000621495,0.54748551,0.5477,0.000613134,0.50057213,0.5005,0.000679241,0.54969803,0.5499,0.000672268,0.0475,0.0084,0.4579,0.2142,0.2486,0.0896
